MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,Location,WindGustDir,WindDir9am,WindDir3pm,Year,Month,Day
9.4,28.9,0.0,39.0,19.0,20.0,67.0,26.0,1017.6604555613026,1015.262716426648,17.6,28.1,0.0,0.16113945578231292,0.18375033629270918,0.17726614071808083,0.1784452296819788,2009.0,2.0,20.0
5.4,20.1,0.0,33.0,15.0,13.0,70.0,46.0,1017.3,1012.8,12.2,19.3,0.0,0.2033765213977228,0.2816988416988417,0.20848585690515806,0.24433688286544047,2014.0,7.0,19.0
11.6,23.8,0.0,39.0,6.0,11.0,62.0,57.0,1024.4,1020.6,17.9,22.6,0.0,0.22438644331904947,0.16305452082627836,0.23064075311266322,0.17128727708676758,2010.0,9.0,8.0
9.7,13.7,12.8,48.0,17.0,22.0,88.0,63.0,1015.6,1015.3,10.1,13.5,1.0,0.223257698541329,0.16360236833904643,0.20848585690515806,0.1784452296819788,2013.0,6.0,22.0
10.5,24.5,2.8,72.0,11.0,41.0,79.0,44.0,1004.4,1001.5,16.5,20.3,1.0,0.2562685932851679,0.2816988416988417,0.2806583163413924,0.22588866532528504,2010.0,9.0,10.0
23.0,35.6,0.0,46.0,24.0,28.0,30.0,13.0,1012.4,1008.2,27.7,34.7,0.0,0.08013217678645188,0.15203718895269347,0.14640577296697196,0.18771377753454646,2009.0,2.0,21.0
-3.9,13.1,0.0,26.0,7.0,13.0,61.0,35.0,1024.9,1021.0,4.5,12.5,0.0,0.19093178036605657,0.22768670309653916,0.23064075311266322,0.28053863417762104,2009.0,8.0,8.0
10.8,19.2,0.0,41.0,11.0,20.0,85.0,76.0,1017.6604555613026,1015.262716426648,15.7,17.7,0.0,0.23586823912159413,0.2712241211615951,0.2806583163413924,0.28053863417762104,2014.0,5.0,15.0
2.9,13.4,0.0,19.0,13.0,6.0,86.0,57.0,1038.2,1035.2,6.8,13.1,0.0,0.22522142555883592,0.16305452082627836,0.3069056520782934,0.18771377753454646,2015.0,6.0,11.0
13.3,31.4,0.0,41.0,19.0,30.0,44.0,34.0,1012.0,1008.2,23.8,30.2,0.0,0.18411386593204776,0.2816988416988417,0.1480993911469475,0.19809134287661895,2011.0,12.0,20.0
15.5,29.4,0.0,35.0,15.0,9.0,43.0,19.0,1017.9,1014.6,19.7,27.0,0.0,0.06696982224059529,0.16360236833904643,0.14640577296697196,0.17128727708676758,2012.0,3.0,8.0
1.5,9.8,0.0,30.0,17.0,9.0,86.0,66.0,1035.6,1033.6,2.9,9.4,0.0,0.23830121903263862,0.2712241211615951,0.3095429029671211,0.28053863417762104,2013.0,6.0,24.0
22.8,30.8,1.0,35.0,17.0,19.0,64.0,46.0,1015.3,1011.9,27.5,29.8,0.0,0.31626754748142033,0.18375033629270918,0.17611731843575418,0.17128727708676758,2011.0,11.0,9.0
14.7,25.1,0.0,22.0,7.0,19.0,60.0,52.0,1018.1,1014.5,20.0,23.5,0.0,0.25356244761106456,0.1851588851411326,0.2771626297577855,0.1879339608085172,2012.0,5.0,7.0
12.4,24.8,0.6,26.0,13.0,11.0,50.0,33.0,1017.6604555613026,1015.262716426648,17.6,23.5,0.0,0.19864464210080474,0.16305452082627836,0.19906800640745595,0.17329929418831658,2013.0,10.0,30.0
11.1,25.0,0.0,48.0,9.0,28.0,63.0,34.0,1027.8,1024.1,15.7,23.7,0.0,0.260253164556962,0.2712241211615951,0.20848585690515806,0.27853749820066215,2010.0,10.0,3.0
3.3,10.2,0.0,56.0,17.0,22.0,30.0,54.0,1017.6604555613026,1015.262716426648,6.0,8.5,0.0,0.27702702702702703,0.26649484536082474,0.2771626297577855,0.2543505674653216,2011.0,8.0,25.0
20.9,29.2,0.0,31.0,13.0,17.0,66.0,57.0,1014.4,1011.5,27.0,28.0,0.0,0.31626754748142033,0.16360236833904643,0.1480993911469475,0.1879339608085172,2013.0,10.0,24.0
7.6,17.4,0.6,39.95368436894482,0.0,18.637255428940012,64.0,51.50522745519002,1017.6604555613026,1015.262716426648,9.8,21.676257496571072,0.0,0.2425,0.2663994655978624,0.19006828057107386,0.2762557077625571,2016.0,6.0,28.0
17.2,34.1,0.0,43.0,13.0,30.0,29.0,32.0,1019.2,1017.0,25.8,32.2,0.0,0.1936824605153782,0.22768670309653916,0.17726614071808083,0.22588866532528504,2013.0,1.0,30.0
22.4,30.6,5.2,39.0,11.0,19.0,83.0,65.0,1007.4,1004.4,25.0,29.8,1.0,0.31626754748142033,0.22768670309653916,0.14640577296697196,0.18771377753454646,2010.0,1.0,20.0
12.9,28.5,0.0,28.0,7.0,9.0,89.0,40.0,1019.6,1016.9,15.9,27.4,0.0,0.244940107393639,0.2191900130643054,0.20848585690515806,0.19809134287661895,2011.0,12.0,30.0
5.3,21.1,0.0,19.0,9.0,4.0,63.0,28.0,1023.3,1020.0,11.8,20.7,0.0,0.12908704883227176,0.22527578865879622,0.14640577296697196,0.17329929418831658,2011.0,5.0,6.0
24.6,32.7,0.0,48.0,22.0,31.0,52.0,47.0,1017.9,1014.7,29.9,31.7,0.0,0.17366490012229924,0.15203718895269347,0.1480993911469475,0.1784452296819788,2015.0,3.0,29.0
4.4,16.8,0.0,52.0,24.0,26.0,34.0,40.0,1021.9,1020.4,12.5,15.5,0.0,0.2730310262529833,0.2191900130643054,0.24556915768317195,0.2155296582427655,2012.0,9.0,1.0
11.8,17.3,8.4,83.0,22.0,52.0,72.0,76.0,997.8,995.9,15.6,11.4,1.0,0.22522142555883592,0.2712241211615951,0.2806583163413924,0.2543505674653216,2016.0,7.0,22.0
18.3,21.0,2.4,72.0,41.0,41.0,81.0,78.0,1011.6,1013.1,19.5,19.3,1.0,0.24420529801324503,0.2191900130643054,0.2223913411128023,0.19809134287661895,2014.0,4.0,12.0
18.4,29.3,0.0,35.0,11.0,11.0,98.0,58.0,1019.4,1016.3,20.9,28.8,0.0,0.2730310262529833,0.16360236833904643,0.3095429029671211,0.1879339608085172,2013.0,3.0,26.0
3.8,16.9,0.0,26.0,7.0,15.0,88.0,44.0,1017.8,1014.4,9.7,16.1,0.0,0.20920502092050208,0.2712241211615951,0.159978009895547,0.28053863417762104,2016.0,5.0,2.0
19.5,35.1,0.0,48.0,17.0,17.0,56.0,32.0,1015.0,1010.9,25.4,33.2,0.0,0.14215686274509803,0.16360236833904643,0.20848585690515806,0.17128727708676758,2009.0,2.0,1.0
11.8,25.4,0.0,35.0,7.0,11.0,92.0,55.0,1011.2,1009.3,16.4,24.8,0.0,0.21263418662262593,0.19506380591782357,0.23064075311266322,0.19809134287661895,2015.0,2.0,27.0
21.5,31.4,0.0,33.0,11.0,28.0,73.0,70.0,1017.4,1013.5,28.1,29.3,0.0,0.17366490012229924,0.1851588851411326,0.159978009895547,0.1784452296819788,2016.0,5.0,1.0
13.1,18.7,0.0,69.0,48.0,31.0,65.0,69.0,1013.2,1019.7,17.5,15.4,0.0,0.21263418662262593,0.23444773592890394,0.24556915768317195,0.22588866532528504,2015.0,10.0,26.0
8.0,12.4,0.8,20.0,9.0,11.0,76.0,69.0,1036.4,1033.7,10.7,12.1,0.0,0.3009991673605329,0.15203718895269347,0.1480993911469475,0.17329929418831658,2014.0,8.0,14.0
3.9,14.6,0.0,33.0,13.0,15.0,69.0,54.0,1015.5,1012.7,6.2,14.2,0.0,0.18418874172185432,0.22527578865879622,0.159978009895547,0.17128727708676758,2012.0,5.0,24.0
12.3,26.4,0.0,43.0,17.0,20.0,92.0,46.0,1014.5,1013.7,16.8,24.1,0.0,0.16035455278001612,0.20503235082674334,0.24556915768317195,0.2543505674653216,2015.0,3.0,9.0
3.5,13.8,0.0,13.0,7.0,6.0,92.0,65.0,1022.5,1020.3,5.9,13.6,0.0,0.23586823912159413,0.15203718895269347,0.14640577296697196,0.17128727708676758,2010.0,5.0,27.0
18.4,36.7,0.0,20.0,9.0,6.0,61.0,27.0,1013.0,1009.1,27.0,36.2,0.0,0.17131474103585656,0.19506380591782357,0.3095429029671211,0.1879339608085172,2015.0,4.0,12.0
18.1,35.4,0.0,46.0,22.0,11.0,54.0,12.0,1016.1,1013.0,22.0,33.1,0.0,0.06696982224059529,0.20503235082674334,0.17611731843575418,0.2543505674653216,2015.0,12.0,10.0
13.6,20.6,0.0,28.0,7.0,9.0,61.0,64.0,1015.2,1013.3,17.7,19.8,0.0,0.31025641025641026,0.2851488880512627,0.3069056520782934,0.18844486112738779,2012.0,10.0,27.0
11.2,25.6,0.0,31.0,11.0,17.0,50.0,45.0,1020.2,1015.2,18.4,23.1,0.0,0.2033765213977228,0.20503235082674334,0.1480993911469475,0.2261848897231347,2016.0,11.0,1.0
14.7,26.0,2.0,30.0,0.0,6.0,74.0,57.0,1009.3,1005.9,17.0,24.6,1.0,0.19093178036605657,0.18375033629270918,0.19006828057107386,0.27853749820066215,2015.0,2.0,26.0
23.5,36.4,0.0,48.0,7.0,20.0,23.0,11.0,1012.7,1006.7,27.3,35.5,0.0,0.08013217678645188,0.15203718895269347,0.14640577296697196,0.1879339608085172,2009.0,3.0,11.0
19.7,25.0,21.8,39.0,17.0,22.0,73.0,60.0,1017.6604555613026,1015.262716426648,22.1,24.6,1.0,0.19864464210080474,0.19506380591782357,0.19906800640745595,0.18771377753454646,2015.0,1.0,12.0
12.3,20.6,0.0,50.0,4.0,24.0,77.0,68.0,1014.8,1013.9,14.1,16.9,0.0,0.23586823912159413,0.28476308454629917,0.3095429029671211,0.2777938203869477,2014.0,3.0,18.0
15.0,18.7,0.4,31.0,19.0,19.0,50.0,49.0,1032.5,1030.7,17.4,18.5,0.0,0.2631181577953945,0.16360236833904643,0.1480993911469475,0.17329929418831658,2014.0,10.0,21.0
20.7,27.8,0.0,41.0,26.0,30.0,52.0,74.0,1010.5,1007.5,26.2,23.0,0.0,0.25356244761106456,0.28476308454629917,0.3069056520782934,0.27853749820066215,2013.0,12.0,10.0
2.2,19.5,0.0,31.0,4.0,15.0,70.0,46.0,1023.0,1021.0,11.2,16.2,0.0,0.19631375910844406,0.20503235082674334,0.3069056520782934,0.2261848897231347,2016.0,8.0,28.0
7.9,27.5,0.0,28.0,0.0,15.0,59.0,17.0,1015.5,1009.8,17.8,25.6,0.0,0.17366490012229924,0.2712241211615951,0.19006828057107386,0.28053863417762104,2011.0,8.0,10.0
28.7,44.7,0.0,46.0,11.0,19.0,16.0,8.0,1006.9,1004.8,36.5,43.9,0.0,0.223257698541329,0.16305452082627836,0.26810114653683054,0.22588866532528504,2014.0,2.0,2.0
11.1,26.3,0.2,41.0,22.0,15.0,46.0,28.0,1025.3,1021.7,18.3,26.2,0.0,0.33066310636404095,0.22527578865879622,0.26810114653683054,0.28053863417762104,2015.0,9.0,23.0
7.9,23.8,0.0,33.0,13.0,22.0,72.0,38.0,1026.3,1023.3,16.1,22.5,0.0,0.3009991673605329,0.23444773592890394,0.2771626297577855,0.19809134287661895,2009.0,11.0,24.0
10.7,25.2,0.0,31.0,0.0,2.0,100.0,68.0,1015.4,1011.9,13.5,23.0,0.0,0.19287833827893175,0.26649484536082474,0.19006828057107386,0.28491372953841615,2014.0,4.0,26.0
14.2,24.3,0.0,28.0,11.0,20.0,96.0,70.0,1024.4,1021.8,18.3,23.1,0.0,0.2730310262529833,0.19506380591782357,0.2806583163413924,0.18844486112738779,2016.0,4.0,20.0
15.4,29.3,0.0,30.0,9.0,13.0,76.0,49.0,1016.4,1012.9,19.6,26.4,0.0,0.19093178036605657,0.16360236833904643,0.20848585690515806,0.2777938203869477,2016.0,2.0,12.0
24.2,34.2,0.0,39.0,11.0,17.0,69.0,44.0,1013.6,1009.9,29.3,32.9,0.0,0.25736738703339884,0.16305452082627836,0.14640577296697196,0.17329929418831658,2012.0,4.0,10.0
6.3,16.9,1.4,35.0,6.0,13.0,85.0,58.0,1014.4,1012.3,12.5,15.5,1.0,0.20920502092050208,0.28476308454629917,0.1480993911469475,0.2777938203869477,2009.0,9.0,4.0
12.9,30.8,0.0,17.0,0.0,6.0,75.0,33.0,1017.6604555613026,1015.262716426648,17.9,30.1,0.0,0.19864464210080474,0.15203718895269347,0.19006828057107386,0.18771377753454646,2014.0,3.0,18.0
7.3,13.3,2.2,37.0,11.0,19.0,93.0,76.0,1022.5,1020.0,8.5,12.2,1.0,0.3165743502343417,0.2816988416988417,0.2771626297577855,0.2777938203869477,2011.0,7.0,9.0
8.2,15.6,4.6,43.0,13.0,19.0,65.0,68.0,1017.6,1018.5,12.5,13.3,1.0,0.3165743502343417,0.23444773592890394,0.2223913411128023,0.2261848897231347,2014.0,4.0,24.0
4.9,22.1,0.0,26.0,0.0,9.0,76.0,36.0,1025.3,1021.5,12.0,21.6,0.0,0.10961695191524043,0.2191900130643054,0.19006828057107386,0.2543505674653216,2013.0,8.0,26.0
4.5,13.4,7.2,39.0,11.0,20.0,87.0,70.0,1028.1,1027.8,7.6,13.1,1.0,0.223257698541329,0.2816988416988417,0.20848585690515806,0.2777938203869477,2012.0,6.0,23.0
14.9,27.3,0.0,41.0,20.0,13.0,50.0,30.0,1011.6,1008.5,17.4,25.8,0.0,0.20920502092050208,0.19506380591782357,0.17611731843575418,0.18844486112738779,2009.0,2.0,10.0
18.4,28.4,0.0,30.0,0.0,20.0,87.0,65.0,1016.4,1013.3,22.3,27.3,0.0,0.31626754748142033,0.18375033629270918,0.19006828057107386,0.1784452296819788,2009.0,6.0,8.0
10.1,15.3,0.0,24.0,7.0,11.0,68.83849344822674,51.50522745519002,1035.1,1033.4,12.6,14.6,0.0,0.33066310636404095,0.2663994655978624,0.19006828057107386,0.2762557077625571,2013.0,6.0,1.0
17.1,27.5,0.0,56.0,35.0,24.0,18.0,12.0,1017.7,1012.9,21.1,26.8,0.0,0.17366490012229924,0.2191900130643054,0.2223913411128023,0.2155296582427655,2009.0,7.0,3.0
3.1,15.2,0.0,43.0,15.0,22.0,80.0,40.0,1032.9,1030.2,4.5,14.5,0.0,0.260253164556962,0.22527578865879622,0.3069056520782934,0.24433688286544047,2013.0,7.0,10.0
14.5,21.4,7.8,31.0,20.0,17.0,76.0,68.0,1019.9,1016.8,18.9,20.0,1.0,0.25356244761106456,0.19506380591782357,0.1480993911469475,0.27853749820066215,2012.0,9.0,18.0
9.1,18.2,2.0,67.0,9.0,20.0,66.0,42.0,1017.8,1013.1,11.0,17.1,1.0,0.2002492729538845,0.22527578865879622,0.20848585690515806,0.24433688286544047,2016.0,8.0,29.0
18.0,40.2,0.0,44.0,9.0,19.0,35.0,10.0,1005.6,1003.8,28.5,38.5,0.0,0.18418874172185432,0.19506380591782357,0.17611731843575418,0.22588866532528504,2009.0,2.0,5.0
8.6,26.5,0.0,30.0,13.0,11.0,69.0,30.0,1019.5,1014.8,16.1,25.4,0.0,0.2730310262529833,0.1851588851411326,0.2806583163413924,0.2543505674653216,2016.0,10.0,25.0
3.7,18.8,0.0,26.0,6.0,9.0,71.0,40.0,1025.6,1023.5,10.4,17.9,0.0,0.223257698541329,0.2712241211615951,0.3069056520782934,0.27853749820066215,2011.0,6.0,1.0
2.3,20.4,0.0,26.0,7.0,11.0,65.0,55.0,1017.6604555613026,1015.262716426648,14.6,19.2,0.0,0.16113945578231292,0.22768670309653916,0.24556915768317195,0.2155296582427655,2012.0,5.0,26.0
7.1,7.9,11.8,69.0,24.0,20.0,86.0,89.0,993.7,998.7,7.2,5.8,1.0,0.3165743502343417,0.2816988416988417,0.2806583163413924,0.28491372953841615,2016.0,7.0,12.0
4.3,11.1,0.0,24.0,7.0,11.0,80.0,73.0,1023.5,1022.2,7.7,9.8,0.0,0.23830121903263862,0.19506380591782357,0.24556915768317195,0.18844486112738779,2014.0,8.0,16.0
14.1,21.9,0.0,37.0,4.0,24.0,80.0,66.0,1015.0,1014.3,18.3,21.2,0.0,0.21263418662262593,0.15203718895269347,0.19906800640745595,0.17329929418831658,2011.0,11.0,28.0
8.1,31.2,0.0,44.0,9.0,9.0,35.0,8.0,1019.3,1015.3,19.9,30.0,0.0,0.10961695191524043,0.2712241211615951,0.1480993911469475,0.22588866532528504,2012.0,10.0,29.0
1.4,11.9,0.0,33.0,15.0,17.0,63.0,60.0,1027.2,1025.2,7.1,10.6,0.0,0.18418874172185432,0.19506380591782357,0.23064075311266322,0.19809134287661895,2015.0,8.0,29.0
18.1,30.2,2.360773554247356,41.0,15.0,26.0,68.0,46.0,1012.1,1010.0,22.6,28.3,-1.0,0.18411386593204776,0.23444773592890394,0.24556915768317195,0.22588866532528504,2014.0,12.0,31.0
24.5,32.8,0.0,26.0,6.0,7.0,61.0,53.0,1015.6,1012.4,29.1,31.4,0.0,0.22438644331904947,0.16360236833904643,0.3095429029671211,0.1879339608085172,2017.0,2.0,5.0
20.5,38.7,0.0,54.0,20.0,24.0,9.0,6.0,1013.2,1009.6,29.8,37.1,0.0,0.07705053852526926,0.2191900130643054,0.3069056520782934,0.2777938203869477,2016.0,11.0,17.0
4.8,31.9,0.0,31.0,6.0,15.0,73.0,21.0,1022.9,1017.6,12.9,30.2,0.0,0.3165743502343417,0.20503235082674334,0.17726614071808083,0.27853749820066215,2015.0,10.0,19.0
12.9,39.2,0.0,39.95368436894482,13.981885472877023,18.637255428940012,44.0,9.0,1017.6604555613026,1015.262716426648,22.0,37.5,0.0,0.18525245187068654,0.2663994655978624,0.19006828057107386,0.2762557077625571,2009.0,11.0,19.0
11.8,28.3,0.0,35.0,26.0,19.0,25.0,11.0,1020.3,1015.9,18.8,26.8,0.0,0.07705053852526926,0.15203718895269347,0.17726614071808083,0.17329929418831658,2015.0,4.0,10.0
9.3,28.1,0.0,22.0,7.0,19.0,67.0,34.0,1016.7,1014.1,18.0,26.7,0.0,0.20920502092050208,0.2851488880512627,0.1480993911469475,0.24433688286544047,2016.0,11.0,27.0
17.5,35.9,0.0,46.0,11.0,17.0,66.0,24.0,1011.0,1007.4,21.0,33.5,0.0,0.3165743502343417,0.1851588851411326,0.1480993911469475,0.1879339608085172,2015.0,12.0,7.0
19.6,25.9,0.4,41.0,4.0,9.0,92.0,90.0,1005.3,1002.2,22.3,22.9,0.0,0.269347168179853,0.22527578865879622,0.3069056520782934,0.2777938203869477,2014.0,2.0,19.0
17.9,38.1,0.0,57.0,2.0,30.0,80.0,59.0,1010.0,1006.3,24.4,23.7,0.0,0.19631375910844406,0.2191900130643054,0.159978009895547,0.2155296582427655,2017.0,2.0,17.0
26.8,38.9,0.0,69.0,20.0,35.0,21.0,58.0,1006.3,1003.5,33.5,27.5,0.0,0.08013217678645188,0.2712241211615951,0.14640577296697196,0.19809134287661895,2008.0,12.0,26.0
20.1,37.0,0.0,50.0,17.0,30.0,36.0,23.0,1006.4,1002.8,29.6,36.2,0.0,0.08013217678645188,0.15203718895269347,0.1480993911469475,0.17329929418831658,2011.0,1.0,17.0
13.8,26.4,0.0,37.0,2.0,19.0,96.0,62.0,1016.1,1013.2,17.8,25.3,0.0,0.23586823912159413,0.2851488880512627,0.3095429029671211,0.28053863417762104,2011.0,3.0,13.0
22.2,26.2,14.2,48.0,19.0,22.0,95.0,96.0,1012.5,1012.1,22.6,23.3,1.0,0.29129511677282377,0.1851588851411326,0.20848585690515806,0.1879339608085172,2011.0,1.0,12.0
22.5,33.1,4.6,39.0,17.0,17.0,77.0,66.0,1006.0,1002.5,26.7,31.3,1.0,0.25736738703339884,0.16360236833904643,0.159978009895547,0.28053863417762104,2012.0,3.0,8.0
5.7,17.3,0.0,43.0,22.0,15.0,45.0,25.0,1029.5,1025.8,10.2,17.1,0.0,0.2562685932851679,0.23444773592890394,0.2771626297577855,0.2543505674653216,2016.0,7.0,14.0
23.1,41.8,0.0,43.0,31.0,20.0,9.0,6.0,1013.9,1011.6,32.3,40.7,0.0,0.06696982224059529,0.15203718895269347,0.14640577296697196,0.27853749820066215,2013.0,12.0,18.0
6.2,18.7,0.0,52.0,13.0,15.0,69.0,45.0,1025.4,1019.5,12.0,18.0,0.0,0.2033765213977228,0.16360236833904643,0.17726614071808083,0.1784452296819788,2016.0,8.0,25.0
10.3,20.0,18.0,52.0,13.0,28.0,76.0,56.0,1008.5,1010.5,14.4,18.8,1.0,0.19631375910844406,0.20503235082674334,0.24556915768317195,0.2261848897231347,2015.0,4.0,26.0
13.6,33.5,0.0,41.0,15.0,15.0,53.0,21.0,1014.6,1011.5,20.6,32.4,0.0,0.3009991673605329,0.2191900130643054,0.17726614071808083,0.2261848897231347,2009.0,2.0,17.0
18.5,26.7,0.0,48.0,30.0,35.0,51.0,58.0,1020.5,1018.2,23.0,24.5,0.0,0.25356244761106456,0.19506380591782357,0.19906800640745595,0.18844486112738779,2015.0,4.0,10.0
8.8,21.2,0.4,26.0,15.0,13.0,61.0,33.0,1025.3,1022.6,13.9,20.2,0.0,0.14215686274509803,0.18375033629270918,0.1480993911469475,0.18771377753454646,2010.0,7.0,9.0
7.8,17.8,1.6,19.0,9.0,2.0,88.0,74.0,1023.6,1022.5,12.2,14.9,1.0,0.19631375910844406,0.23444773592890394,0.23064075311266322,0.2155296582427655,2016.0,7.0,9.0
12.8,32.1,0.0,26.0,15.0,9.0,12.0,7.0,1020.0,1016.8,23.3,30.8,0.0,0.12908704883227176,0.20503235082674334,0.17726614071808083,0.2261848897231347,2013.0,11.0,1.0
17.4,29.1,4.8,35.0,15.0,15.0,80.0,41.0,1009.0,1005.2,19.6,27.3,1.0,0.19631375910844406,0.15203718895269347,0.2223913411128023,0.24433688286544047,2017.0,2.0,19.0
10.3,15.4,10.0,72.0,30.0,33.0,62.0,55.0,1018.3,1018.9,13.3,13.9,1.0,0.35963071758287873,0.26649484536082474,0.24556915768317195,0.22588866532528504,2012.0,5.0,11.0
9.5,17.6,0.0,31.0,19.0,20.0,69.0,60.0,1026.7,1024.1,13.7,16.1,0.0,0.19093178036605657,0.16305452082627836,0.17611731843575418,0.17128727708676758,2009.0,5.0,23.0
19.1,21.3,10.0,63.0,30.0,33.0,79.0,74.0,1005.9,1004.9,20.0,20.4,1.0,0.31025641025641026,0.28476308454629917,0.2771626297577855,0.2777938203869477,2010.0,6.0,6.0
18.5,36.4,12.6,43.0,20.0,11.0,71.0,29.0,1017.6604555613026,1015.262716426648,23.3,34.9,1.0,0.19864464210080474,0.19506380591782357,0.3095429029671211,0.2543505674653216,2014.0,12.0,2.0
7.7,20.3,0.0,50.0,7.0,37.0,79.0,39.0,1024.4,1022.9,11.2,18.8,0.0,0.16035455278001612,0.20503235082674334,0.23064075311266322,0.19809134287661895,2013.0,5.0,1.0
4.4,18.4,0.0,24.0,9.0,11.0,59.0,32.0,1029.3,1027.0,12.1,17.9,0.0,0.12908704883227176,0.19506380591782357,0.159978009895547,0.2155296582427655,2016.0,8.0,14.0
13.0,18.4,9.8,69.0,35.0,43.0,65.0,63.0,1025.3,1024.4,17.3,17.3,1.0,0.269347168179853,0.22768670309653916,0.17611731843575418,0.18771377753454646,2014.0,8.0,28.0
27.6,32.4,0.0,37.0,15.0,26.0,68.0,60.0,1007.7,1006.0,30.8,31.5,0.0,0.25736738703339884,0.28476308454629917,0.2771626297577855,0.2777938203869477,2017.0,1.0,13.0
14.0,34.3,0.0,31.0,6.0,22.0,70.0,37.0,1016.7,1012.3,22.3,33.1,0.0,0.19631375910844406,0.15203718895269347,0.20848585690515806,0.17329929418831658,2013.0,1.0,4.0
26.1,41.5,0.0,43.0,24.0,20.0,45.0,16.0,1008.6,1005.4,32.1,40.5,0.0,0.07705053852526926,0.15203718895269347,0.1480993911469475,0.1784452296819788,2017.0,1.0,31.0
12.0,24.0,0.0,39.95368436894482,17.0,18.637255428940012,65.0,51.50522745519002,1018.6,1016.1,21.6,21.676257496571072,0.0,0.3034367141659681,0.2663994655978624,0.2223913411128023,0.2762557077625571,2017.0,1.0,2.0
12.2,18.2,17.2,50.0,17.0,19.0,85.0,74.0,1006.3,1009.5,15.1,14.6,1.0,0.2033765213977228,0.23444773592890394,0.24556915768317195,0.19809134287661895,2017.0,5.0,21.0
21.5,26.3,0.0,70.0,44.0,39.0,36.0,77.0,993.3,995.7,24.9,12.7,0.0,0.258408531583265,0.2712241211615951,0.3069056520782934,0.2777938203869477,2012.0,2.0,5.0
13.4,26.2,0.0,41.0,2.0,30.0,75.0,58.0,1012.6,1009.8,21.1,25.6,0.0,0.2730310262529833,0.16360236833904643,0.2771626297577855,0.17329929418831658,2015.0,3.0,7.0
7.0,21.3,0.2,31.0,11.0,13.0,63.0,47.0,1020.8,1020.5,13.3,20.0,0.0,0.3165743502343417,0.20503235082674334,0.17611731843575418,0.19809134287661895,2015.0,11.0,7.0
17.9,37.5,0.0,30.0,11.0,7.0,62.0,31.0,1009.7,1004.3,23.4,35.9,0.0,0.19631375910844406,0.16305452082627836,0.3069056520782934,0.1784452296819788,2013.0,1.0,11.0
9.0,13.3,0.2,54.0,22.0,26.0,82.0,73.0,1016.6,1017.1,9.3,12.0,0.0,0.16035455278001612,0.22768670309653916,0.2223913411128023,0.2155296582427655,2013.0,6.0,14.0
2.0,19.2,0.0,33.0,17.0,13.0,57.0,30.0,1029.3,1026.1,11.8,18.3,0.0,0.14215686274509803,0.16305452082627836,0.159978009895547,0.18771377753454646,2012.0,7.0,6.0
5.5,20.0,0.0,37.0,0.0,17.0,71.0,40.0,1020.9,1021.5,11.0,18.2,0.0,0.18418874172185432,0.20503235082674334,0.19006828057107386,0.22588866532528504,2017.0,4.0,1.0
